qname	tname	aai	qTax	tTax
GCA.002966255.1.ASM296625v1.genomic	SD.QD.2020.06.15.bin.37	27.71875	Imitervirales	Algavirales
SRX696246.4.dc	JS.YC.2021.05.15.bin.10	27.74210526	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.044944	27.74642857	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.044945	27.74814815	Imitervirales	Asfuvirales
GCA.002966275.1.ASM296627v1.genomic	NC.027778	27.76875	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.044952	27.77058824	Imitervirales	Asfuvirales
SRX696246.4.dc	NC.015780	27.77391304	Imitervirales	Pimascovirales
NC.044946	GCA.002966405.1.ASM296640v1.genomic	27.78235294	Asfuvirales	Imitervirales
SRX802202.77.dc	NC.044953	27.79	Imitervirales	Asfuvirales
SD.QD.2020.06.15.bin.13	SD.QD.2023.07.80.ultra.bin.14	27.796	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.044950	27.8	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.044946	27.8	Imitervirales	Asfuvirales
SRX802202.77.dc	NC.044951	27.8	Imitervirales	Asfuvirales
SRX802202.77.dc	NC.044942	27.81	Imitervirales	Asfuvirales
SRX802202.77.dc	NC.044947	27.81	Imitervirales	Asfuvirales
SRX802202.77.dc	NC.044955	27.81	Imitervirales	Asfuvirales
NC.014767	JS.LYG.2021.05.15.bin.1	27.8125	Algavirales	Pandoravirales
SRX802202.77.dc	NC.044943	27.815	Imitervirales	Asfuvirales
SRX802202.77.dc	NC.044941	27.815	Imitervirales	Asfuvirales
GCA.002966405.1.ASM296640v1.genomic	LN.DD.2021.06.15.bin.9	27.82142857	Imitervirales	Pimascovirales
SRX802202.77.dc	NC.040612	27.82631579	Imitervirales	Pimascovirales
ERX552300.8.dc	NC.003038	27.83333333	Imitervirales	Pimascovirales
SRX802202.77.dc	NC.055165	27.84210526	Imitervirales	Pimascovirales
SRX802202.77.dc	GCA.004788555.1.ASM478855v1.genomic	27.84210526	Imitervirales	Pimascovirales
SD.QD.2020.06.15.bin.13	NC.023848	27.85	Imitervirales	Pimascovirales
SRX802202.77.dc	NC.044949	27.85263158	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.044948	27.86666667	Imitervirales	Asfuvirales
SRX802202.7.dc	NC.003038	27.87142857	Imitervirales	Pimascovirales
SRX802202.7.dc	NC.015780	27.88695652	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.044949	27.9	Imitervirales	Asfuvirales
GCA.002966255.1.ASM296625v1.genomic	JS.YC.2021.05.15.bin.10	27.9125	Imitervirales	Asfuvirales
SRX802202.77.dc	NC.044952	27.92105263	Imitervirales	Asfuvirales
NC.016072	NC.021901	27.92105263	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	NC.044954	27.95	Imitervirales	Asfuvirales
SRX802202.77.dc	SD.QD.2021.02.15.bin.5	27.95384615	Imitervirales	Imitervirales
NC.020864	JS.LYG.2021.05.15.bin.1	27.95714286	Algavirales	Pandoravirales
SRX802202.77.dc	NC.044944	27.96315789	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.021901	27.98125	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.023848	27.992	Imitervirales	Pimascovirales
SD.QD.2020.06.15.bin.13	SD.QD.2020.06.15.bin.29	28	Imitervirales	Pandoravirales
NC.014649	LN.DD.2021.06.15.bin.9	28.0047619	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.023611	28.01290323	Imitervirales	Pimascovirales
SRX802202.77.dc	NC.044946	28.02	Imitervirales	Asfuvirales
GCA.002966275.1.ASM296627v1.genomic	JS.LYG.2021.05.15.bin.1	28.02307692	Imitervirales	Pandoravirales
GD.ZH.2021.05.15.bin.3	NC.023639	28.03125	Pimascovirales	Imitervirales
NC.008187	SRX802073.62.dc	28.04117647	Pimascovirales	Imitervirales
SRX802202.77.dc	NC.044945	28.04736842	Imitervirales	Asfuvirales
GD.ZH.2021.05.15.bin.3	NC.014649	28.09375	Pimascovirales	Imitervirales
SRX802202.7.dc	NC.023613	28.09565217	Imitervirales	Pimascovirales
SD.QD.2020.06.15.bin.13	NC.044947	28.10588235	Imitervirales	Asfuvirales
SD.QD.2020.06.15.bin.13	NC.044955	28.10588235	Imitervirales	Asfuvirales
SRX802202.77.dc	NC.044948	28.11111111	Imitervirales	Asfuvirales
SD.QD.2020.06.15.bin.13	NC.044942	28.11764706	Imitervirales	Asfuvirales
SD.QD.2020.06.15.bin.13	NC.044941	28.11764706	Imitervirales	Asfuvirales
ERX552296.13.dc	JS.YC.2021.05.15.bin.10	28.13529412	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.008187	28.13809524	Imitervirales	Pimascovirales
SRX802202.77.dc	NC.044954	28.14	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044950	28.14166667	Imitervirales	Asfuvirales
ERX552300.8.dc	NC.024451	28.15217391	Imitervirales	Pimascovirales
NC.028091	JS.LYG.2021.05.15.bin.1	28.15882353	Algavirales	Pandoravirales
SD.QD.2020.06.15.bin.13	NC.044951	28.17058824	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044952	28.192	Imitervirales	Asfuvirales
NC.020864	SD.QD.2020.06.15.bin.29	28.19333333	Algavirales	Pandoravirales
SD.QD.2020.06.15.bin.13	NC.044943	28.19411765	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.044954	28.2	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044949	28.208	Imitervirales	Asfuvirales
SRX802073.99.dc	NC.006549	28.21904762	Imitervirales	Pimascovirales
NC.014765	JS.LYG.2021.05.15.bin.1	28.24	Algavirales	Pandoravirales
GCA.002966275.1.ASM296627v1.genomic	SD.QD.2020.06.15.bin.29	28.24444444	Imitervirales	Pandoravirales
NC.023639	SD.QD.2023.07.80.ultra.bin.14	28.25714286	Imitervirales	Pimascovirales
GCA.002966255.1.ASM296625v1.genomic	NC.023611	28.27894737	Imitervirales	Pimascovirales
NC.008187	SRX802202.7.dc	28.28666667	Pimascovirales	Imitervirales
JS.YC.2021.05.15.bin.6	SD.DY.2021.06.15.bin.6	28.29230769	Pimascovirales	Pimascovirales
ERX552296.13.dc	NC.044951	28.29583333	Imitervirales	Asfuvirales
SRX802073.99.dc	JS.YC.2021.05.15.bin.10	28.30740741	Imitervirales	Asfuvirales
NC.014789	SD.QD.2020.06.15.bin.29	28.34117647	Algavirales	Pandoravirales
ERX552296.13.dc	NC.044953	28.35	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044946	28.35833333	Imitervirales	Asfuvirales
SD.QD.2020.06.15.bin.13	NC.044949	28.37058824	Imitervirales	Asfuvirales
SD.QD.2020.06.15.bin.13	SD.QD.2020.12.15.bin.6	28.37647059	Imitervirales	Pimascovirales
SRX802073.99.dc	NC.015780	28.39	Imitervirales	Pimascovirales
SD.QD.2020.06.15.bin.13	NC.044952	28.39411765	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044945	28.39583333	Imitervirales	Asfuvirales
ZJ.NB.2021.05.15.bin.19	JS.LYG.2021.05.15.bin.1	28.4	Algavirales	Pandoravirales
GCA.002966405.1.ASM296640v1.genomic	SD.QD.2020.06.15.bin.14	28.40588235	Imitervirales	Pimascovirales
NC.028091	SD.QD.2020.06.15.bin.29	28.40588235	Algavirales	Pandoravirales
ERX552296.13.dc	NC.044947	28.40833333	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044955	28.40833333	Imitervirales	Asfuvirales
SD.DY.2021.06.15.bin.6	JS.YC.2021.05.15.bin.6	28.41538462	Pimascovirales	Pimascovirales
GCA.002966255.1.ASM296625v1.genomic	NC.023848	28.41764706	Imitervirales	Pimascovirales
NC.028093	SD.QD.2020.06.15.bin.29	28.41875	Algavirales	Pandoravirales
SRX696246.4.dc	SD.QD.2023.07.80.ultra.bin.14	28.42068966	Imitervirales	Pimascovirales
ERX552296.13.dc	NC.044943	28.425	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044942	28.425	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044941	28.425	Imitervirales	Asfuvirales
NC.043129	SD.QD.2020.06.15.bin.29	28.42666667	Algavirales	Pandoravirales
SRX802073.99.dc	JS.YC.2021.05.15.bin.4	28.432	Imitervirales	Asfuvirales
ERX552296.13.dc	NC.044944	28.4375	Imitervirales	Asfuvirales
GCA.002116175.1.ViralProj381648.genomic	NC.044948	28.47647059	Asfuvirales	Asfuvirales
GD.ZH.2021.05.15.bin.3	GCA.002966405.1.ASM296640v1.genomic	28.48235294	Pimascovirales	Imitervirales
NC.037057	JS.LYG.2021.05.15.bin.1	28.48461538	Algavirales	Pandoravirales
ERX552296.13.dc	NC.044954	28.4875	Imitervirales	Asfuvirales
NC.008187	ERX552296.13.dc	28.5	Pimascovirales	Imitervirales
ERX552300.8.dc	NC.021901	28.51111111	Imitervirales	Pimascovirales
SRX696246.4.dc	NC.023848	28.51304348	Imitervirales	Pimascovirales
NC.014767	SD.QD.2020.06.15.bin.29	28.51333333	Algavirales	Pandoravirales
NC.009899	JS.LYG.2021.05.15.bin.1	28.51428571	Algavirales	Pandoravirales
NC.009899	SD.QD.2020.06.15.bin.29	28.55	Algavirales	Pandoravirales
GCA.002966255.1.ASM296625v1.genomic	SD.QD.2021.02.15.bin.5	28.55833333	Imitervirales	Imitervirales
NC.044948	GCA.002116175.1.ViralProj381648.genomic	28.56363636	Asfuvirales	Asfuvirales
NC.008187	NC.031465	28.56470588	Pimascovirales	Pimascovirales
NC.008187	GCA.001806195.1.ViralProj349153.genomic	28.56470588	Pimascovirales	Pimascovirales
GCA.002116175.1.ViralProj381648.genomic	NC.044945	28.57058824	Asfuvirales	Asfuvirales
GCA.002116175.1.ViralProj381648.genomic	NC.044951	28.57941176	Asfuvirales	Asfuvirales
SRX802202.7.dc	NC.021901	28.6	Imitervirales	Pimascovirales
ERX552300.8.dc	SD.QD.2020.06.15.bin.29	28.6	Imitervirales	Pandoravirales
NC.014766	SD.QD.2020.06.15.bin.29	28.6	Algavirales	Pandoravirales
NC.044953	GCA.002116175.1.ViralProj381648.genomic	28.60294118	Asfuvirales	Asfuvirales
SD.DY.2021.06.15.bin.1	NC.044950	28.605	Asfuvirales	Asfuvirales
SRX802202.7.dc	NC.023611	28.60909091	Imitervirales	Pimascovirales
ERX555907.31.dc	SD.QD.2021.02.15.bin.5	28.62	Algavirales	Imitervirales
NC.013288	SD.QD.2020.06.15.bin.29	28.62666667	Algavirales	Pandoravirales
SD.DY.2021.06.15.bin.1	NC.044952	28.63	Asfuvirales	Asfuvirales
NC.044951	GCA.002116175.1.ViralProj381648.genomic	28.63529412	Asfuvirales	Asfuvirales
SD.DY.2021.06.15.bin.1	NC.044949	28.655	Asfuvirales	Asfuvirales
SD.DY.2021.06.15.bin.1	NC.044946	28.66315789	Asfuvirales	Asfuvirales
GCA.000889395.1.ViralProj59783.genomic	JS.YC.2021.05.15.bin.5	28.66875	Imitervirales	Imitervirales
NC.014637	JS.YC.2021.05.15.bin.5	28.66875	Imitervirales	Imitervirales
SD.DY.2021.06.15.bin.1	NC.044953	28.67	Asfuvirales	Asfuvirales
NC.003038	GCA.001654305.1.ViralProj323872.genomic	28.67241379	Pimascovirales	Pimascovirales
NC.003038	NC.030230	28.67241379	Pimascovirales	Pimascovirales
SD.DY.2021.06.15.bin.1	NC.044943	28.675	Asfuvirales	Asfuvirales
ZJ.WZ.2021.05.15.bin.8	JS.LYG.2021.05.15.bin.1	28.675	Algavirales	Pandoravirales
NC.009898	JS.LYG.2021.05.15.bin.1	28.67857143	Algavirales	Pandoravirales
ERX552300.8.dc	NC.023848	28.68333333	Imitervirales	Pimascovirales
SRX696246.4.dc	LN.DD.2021.06.15.bin.8	28.68518519	Imitervirales	Pimascovirales
NC.032001	SD.QD.2020.06.15.bin.29	28.68823529	Algavirales	Pandoravirales
SD.QD.2020.06.15.bin.13	NC.044954	28.68823529	Imitervirales	Asfuvirales
NC.009898	SD.QD.2020.06.15.bin.29	28.69411765	Algavirales	Pandoravirales
SD.DY.2021.06.15.bin.1	NC.044942	28.695	Asfuvirales	Asfuvirales
SD.DY.2021.06.15.bin.1	NC.044941	28.695	Asfuvirales	Asfuvirales
SD.DY.2021.06.15.bin.1	NC.044947	28.695	Asfuvirales	Asfuvirales
SD.DY.2021.06.15.bin.1	NC.044955	28.695	Asfuvirales	Asfuvirales
NC.028093	JS.LYG.2021.05.15.bin.1	28.7	Algavirales	Pandoravirales
GCA.002966275.1.ASM296627v1.genomic	NC.029692	28.7	Imitervirales	Pimascovirales
GCA.002966275.1.ASM296627v1.genomic	GCA.001602085.1.ViralProj316309.genomic	28.7	Imitervirales	Pimascovirales
GCA.002966405.1.ASM296640v1.genomic	GD.ZH.2021.05.15.bin.3	28.71176471	Imitervirales	Pimascovirales
NC.028092	JS.LYG.2021.05.15.bin.1	28.7125	Algavirales	Pandoravirales
GCA.002116175.1.ViralProj381648.genomic	NC.044952	28.71764706	Asfuvirales	Asfuvirales
NC.044945	GCA.002116175.1.ViralProj381648.genomic	28.71818182	Asfuvirales	Asfuvirales
GCA.002116175.1.ViralProj381648.genomic	NC.044949	28.72941176	Asfuvirales	Asfuvirales
SD.DY.2021.06.15.bin.1	NC.044951	28.73	Asfuvirales	Asfuvirales
GCA.002116175.1.ViralProj381648.genomic	JS.YC.2021.05.15.bin.10	28.734375	Asfuvirales	Asfuvirales
GCA.002966275.1.ASM296627v1.genomic	SD.QD.2020.12.15.bin.6	28.735	Imitervirales	Pimascovirales
GCA.002116175.1.ViralProj381648.genomic	NC.044953	28.73529412	Asfuvirales	Asfuvirales
SD.QD.2020.06.15.bin.13	NC.044944	28.73529412	Imitervirales	Asfuvirales
NC.028092	SD.QD.2020.06.15.bin.29	28.7375	Algavirales	Pandoravirales
GCA.002116175.1.ViralProj381648.genomic	NC.044947	28.74117647	Asfuvirales	Asfuvirales
GCA.002116175.1.ViralProj381648.genomic	NC.044955	28.74117647	Asfuvirales	Asfuvirales
SRX696246.4.dc	GCA.000874805.1.ViralProj31093.genomic	28.74117647	Imitervirales	Pandoravirales
SRX696246.4.dc	NC.011183	28.74117647	Imitervirales	Pandoravirales
SD.DY.2021.06.15.bin.1	NC.044944	28.74210526	Asfuvirales	Asfuvirales
NC.014649	SD.QD.2023.07.80.ultra.bin.14	28.76190476	Imitervirales	Pimascovirales
NC.044952	GCA.002116175.1.ViralProj381648.genomic	28.77272727	Asfuvirales	Asfuvirales
GCA.002116175.1.ViralProj381648.genomic	NC.044943	28.77575758	Asfuvirales	Asfuvirales
