	CXD_1412_FDSW210423229-1r-1	CXD_1414_FDSW210423231-1r-1	CXD_1610_FDSW210423242-1r-1	CXD_1613_FDSW210423245-1r-1	CXD_1611_FDSW210423243-1r-1	CXD_1612_FDSW210423244-1r-1	CXD_1604_FDSW210423236-1r-1	CXD_1609_FDSW210423241-1r-1	WZ7_FDME210455463-1r	WZ15_FDME210455471-1r	WZ11_L1	WZ1_L1	WZ3_L1	WZ14_L1	WZ5_L1	WZ10_L1	NB2_FDME210455353-1r	NB1_FDME210455352-1r	NB7_FDME210455358-1r	NB15_FDME210455366-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	DD3_FDSW220008390-2r	DD15_FDSW220008402-2r	DD1_FDSW220008388-1r	DD13_FDSW220008400-2r	DD5_FDSW220008392-2r	DD9_FDSW220008396-1r	DD7_FDSW220008394-1r	DD11_FDSW220008398-1r	YC11_FDME220007415-1r	YC5_FDME220007409-1r	YC3_FDME220007407-1r	YC13_FDME220007417-1r	YC9_FDME220007413-1r	YC15_FDME220007419-1r	YC1_FDME220007405-1r	YC7_FDME220007411-1a	ZH1_FDSW220008784-1r	ZH5_FDSW220008788-1r	ZH9_FDSW220008792-2r	ZH3_FDSW220008786-1r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r	ZH7_FDSW220008790-1r	ZH11_FDSW220008794-2r	BH10_FDSW220017130-1r	BH2_FDSW220017122-1r	BH4_FDSW220017124-1r	BH14_FDSW220017134-1r	BH15_FDSW220017135-1r	BH8_FDSW220017128-1r	BH6_FDSW220017126-1r	BH12_FDSW220017132-1r	DY7_FDME210438605-1r	DY2_FDME210438600-1b	DY10_FDME210438608-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	DY6_FDME210438604-1r	DY11_FDME210438609-1r	SY9_FDME210455405-2a	SY12_FDME210455408-1r	SY15_FDME210455411-2a	SY3_FDME210455399-2a	SY13_FDME210455409-2a	SY7_FDME210455403-2a	SY11_FDME210455407-1r	ST1_FDME220007465-1r	ST9_L1	ST13_L1	ST15_L1	ST7_FDME220007471-1r	ST10_L1	ST3_L1	ST12_L1	XM12_FDME220007446-1r	XM2_FDME220007436-1r	XM15_FDME220007449-1r	XM6_FDME220007440-1r	XM8_FDME220007442-1r	XM4_FDME220007438-1r	XM10_FDME220007444-1r	XM14_FDME220007448-1r	LYG13_FDME210455394-1a	LYG3_FDME210455384-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	LYG1_FDME210455382-1r	LYG5_FDME210455386-1r	LYG11_FDME210455392-2r
SD_DY_2021_06_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.33388726	23.2649938	41.29975415	31.97040772	29.22132282	55.06388644	18.33120108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_1	0	2.518997977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_10	2.458343223	3.90899862	2.365759178	1.556639634	2.222169387	2.104875035	2.189168723	2.23895694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_27	1.204349522	2.773653631	4.397382615	3.131569255	2.966155136	2.739574043	3.003696542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_28	1.203321228	3.13882641	3.110999576	1.602768906	2.645911981	2.548286798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_42	4.20271847	4.998533165	1.245341658	1.375281815	0	0	0	0	0	0	0.677551617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_46	0	1.437968838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_5	1.593349082	2.698330018	3.283390659	2.483380375	2.707102397	3.178356998	0	0.849089479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_8	4.668649223	5.656964843	10.2955787	8.606946316	8.462221183	7.143663324	3.261933765	0.835413174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43404073	0	0	0	0	0	0	0	4.372260821	0	0	2.029995977	0	0	0
SD_QD_2020_08_15_bin_2	0	2.66782745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_10_15_bin_4	7.825572561	16.25632559	1.36401282	1.267453188	1.109633139	1.305926115	0	1.055930964	6.38547469	5.413993017	16.90995079	7.716395568	8.152667777	9.143485294	6.730386067	7.844827861	1.368397493	3.694288045	3.34267595	4.593346991	3.461983515	3.677067786	4.533962973	4.571639738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.690842143	4.622392329	0	0	0	0	1.062133053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.31227023	6.158825389	0	3.86623618	0	0
SD_QD_2020_10_15_bin_7	10.19313206	9.179847585	7.881614704	8.25216269	4.143521147	4.269912576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.757947381	1.493114632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_12_15_bin_3	10.11983496	15.23427826	2.720044637	2.823554709	1.735995608	1.779406056	1.176246897	3.202127302	7.922362581	9.742256487	25.22896061	13.89899622	13.4520148	14.47031069	11.85814198	12.76298368	3.979150858	8.674281937	8.920114214	9.906578382	6.95947714	10.48204841	9.836285666	11.44985902	0	0	0	0	0	0	0	0	2.619347511	0	0.994136818	1.785195352	0	1.495648844	1.848638198	0.941222799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.27113051	14.5114332	5.922813822	9.33795252	9.918938567	3.521216596	2.383617049
SD_QD_2020_12_15_bin_7	5.763873234	8.049623638	2.768063052	3.312839762	1.480173078	1.791900238	0	1.487990063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_20_normal_bin_4	1.742201853	5.738914386	0	0	1.020358065	3.163468115	2.43622737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_normal_bin_12	2.236221306	6.883832508	1.898101839	2.021040343	2.5772261	1.79839858	1.6854199	4.661969042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47059455	2.680726575	2.061528578	1.728432909	2.740487803	1.51986349	0
SD_QD_2023_07_40_ultra_bin_1	32.5826981	40.13535943	12.29151881	11.28693685	9.98334686	12.14001109	17.1785838	20.60717974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_10	5.620555705	8.487390882	6.214181206	6.402239277	5.964728016	4.71529137	4.59678594	3.262991565	0	0	4.403973093	1.42905704	1.318792319	0.98388461	1.146215958	1.786752635	0	0	0	0	0	0	0	0	1.236557905	0	5.776137901	2.279449996	3.73682349	1.502261765	1.359447915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.61680953	1.428535278	1.060759018	0.97651742	5.62551882	5.664050024	4.216615803	2.368918576	52.34613371	30.3640237	34.6041407	12.1308122	10.97016245	13.94417904	15.46636715	17.74105781	25.70202456	0	1.105523148	2.240486778	13.9874224	1.251645642	3.591284219
SD_QD_2023_07_40_ultra_bin_11	14.45522179	24.59142561	19.8123816	14.32474606	18.24026821	14.96446061	19.79567343	14.81676444	8.665752624	5.159638778	13.26044525	7.868727503	8.901112973	7.493262432	11.13500443	7.113763259	0.85926727	1.990418777	2.764177216	4.172380999	2.362581491	2.810089325	3.539750102	4.072127881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.336630011	0.827364517	0	5.615320138	1.000651148	1.297972171
SD_QD_2023_07_60_normal_bin_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_60_ultra_bin_18	4.736472259	8.411257875	1.605242018	1.969086989	1.526404206	1.692231964	4.317265393	9.733364618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.168863356	0	0	2.442918629	1.513235927	3.358398107
SD_QD_2023_07_60_ultra_bin_19	8.488504397	13.90278657	7.81809666	5.976953754	5.834101928	5.951174296	0	0.917908141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_60_ultra_bin_2	3.541974733	5.004150344	2.029023418	2.29465347	1.208472526	1.270310556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_60_ultra_bin_3	3.304971229	3.050141744	1.579156946	2.264507466	2.257691749	1.979285943	0.958878267	2.212250516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_normal_bin_3	3.903204935	5.963884778	1.872071465	1.347516249	0	0.926502896	0	1.123713197	0	0	2.378340225	0	0	0	0	1.047733381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.895128353	1.376762351	0	0	0	0	0
SD_QD_2023_07_80_normal_bin_5	1.392149574	2.896034046	1.890662359	1.047971109	1.558336365	1.233361961	0.960002343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_11	1.624849085	3.992914666	0	0	0	0	0.955863937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_100_ultra_bin_12	7.330878005	11.97808002	5.017446173	3.953397978	4.187821189	4.754553262	4.928775708	7.514719465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.693218169	2.761343611	1.285637242	1.335387798	1.594741733	1.230542483	1.316386083	1.241544852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_14	0	0	0	0	0	0	0	0	1.272612443	2.825928344	9.733922341	5.761551736	5.244414209	5.247764126	6.443761014	5.445148747	3.967788053	11.4632686	12.75409595	10.45466691	11.15833834	12.93345395	11.91404635	13.59261318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_2	0	0	0	0	0	0	0	0	6.247909046	8.509534215	22.79927327	11.65566032	12.48637642	12.65926808	8.722385316	10.68533792	4.513432795	10.92592969	11.65162761	15.52159743	8.85019611	13.02045868	12.89937123	15.40178265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.761386928	1.309607324	0	0	0	0	0
ZJ_NB_2021_05_15_bin_21	0	0	0	0	0	0	0	0	15.6928389	8.491204372	13.82767341	9.305132254	9.907581353	8.023782919	7.140933314	6.570680077	8.097563782	19.11098205	15.40984327	41.45433494	18.48476606	21.84025073	27.979778	34.61553003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_8	0	0	0	0	0	0	0	0	56.80709695	43.86868337	64.28850405	39.68354752	35.13370266	25.19818272	38.16136176	33.77789665	3.707971455	13.79859833	11.21545047	14.20102458	14.04152106	15.48185992	14.36649151	18.41133277	0	0	0	0	0	0	0	0	6.181146882	5.254852026	6.403038715	6.877193974	5.431586735	5.846489862	6.492672569	5.531720246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.56747042	0	0	0	3.751470527	3.678416259	1.498649528	1.697660175	35.99263428	21.75737411	19.28837059	5.897326589	6.258787925	9.825069017	11.99862367	10.15298935	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_1	0	0	0	0	0	0	0	0	6.965607067	3.624470296	9.463317153	4.598457894	3.987202521	3.346738102	5.237712446	4.225402875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_12	0	0	0	0	0	0	0	0	9.186349009	13.70019666	15.27192769	8.690725994	8.398075965	5.766328463	8.22787223	6.784420162	0	0.822745413	0	1.247769434	1.177402006	1.232498677	0.99479707	1.496781747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_13	0	0	0	0	0	0	0	0	4.55065254	6.178827127	8.331607017	8.874007903	6.242130041	5.98124769	13.2360711	11.75746617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.507016331	0	0	0	0	0.905954121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
