	DD1_FDSW220008388-1r	DD3_FDSW220008390-2r	DD5_FDSW220008392-2r	DD7_FDSW220008394-1r	DD9_FDSW220008396-1r	DD11_FDSW220008398-1r	DD13_FDSW220008400-2r	DD15_FDSW220008402-2r	DY2_FDME210438600-1b	DY6_FDME210438604-1r	DY7_FDME210438605-1r	DY10_FDME210438608-1r	DY11_FDME210438609-1r	DY13_FDME210438611-1b	DY15_FDME210438613-1r	LYG1_FDME210455382-1r	LYG3_FDME210455384-1r	LYG5_FDME210455386-1r	LYG6_FDME210455387-1r	LYG7_FDME210455388-1r	LYG11_FDME210455392-2r	LYG13_FDME210455394-1a	NB1_FDME210455352-1r	NB2_FDME210455353-1r	NB4_FDME210455355-1r	NB6_FDME210455357-1r	NB7_FDME210455358-1r	NB11_FDME210455362-1b	NB12_FDME210455363-1r	NB15_FDME210455366-1r	SY3_FDME210455399-2a	SY7_FDME210455403-2a	SY9_FDME210455405-2a	SY11_FDME210455407-1r	SY12_FDME210455408-1r	SY13_FDME210455409-2a	SY15_FDME210455411-2a	WZ1_L1	WZ3_L1	WZ5_L1	WZ7_FDME210455463-1r	WZ10_L1	WZ11_L1	WZ14_L1	WZ15_FDME210455471-1r	YC1_FDME220007405-1r	YC3_FDME220007407-1r	YC5_FDME220007409-1r	YC7_FDME220007411-1a	YC9_FDME220007413-1r	YC11_FDME220007415-1r	YC13_FDME220007417-1r	YC15_FDME220007419-1r	ZH1_FDSW220008784-1r	ZH3_FDSW220008786-1r	ZH5_FDSW220008788-1r	ZH7_FDSW220008790-1r	ZH9_FDSW220008792-2r	ZH11_FDSW220008794-2r	ZH13_FDSW220008796-2r	ZH15_FDSW220008798-2r
LN_DD_2021_06_15_bin_6	54.87980837	7.807182709	42.10690708	27.52607571	44.66219644	19.42653708	23.06945999	14.57908663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.942548652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_8	24.3678679	17.91397714	11.82975306	39.25455363	18.01184934	14.75790612	31.44762225	18.09034075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_9	9.603728924	9.37306653	5.161149954	6.73065197	7.589334939	11.08765411	12.26703249	12.64350656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_DY_2021_06_15_bin_6	0	0	0	0	0	0	0	0	5.693106012	6.619487906	10.83886519	6.467192907	1.489444021	6.774973206	8.056335861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.960245882	0	0	0	0	0	0	0	0	0	4.467594256	0.84060245	4.439286217	5.028079677	4.427730904	3.264746614	3.985865462
SD_QD_2020_06_15_bin_40	19.23396756	0	4.085763131	2.729994556	2.461420769	3.770823049	20.79660061	0	0	0	0	0	0	0	0	0	1.954496918	5.250228136	7.983149905	4.230694923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.431063708	1.79350441	5.177141983	5.415006034	5.168899949	4.009439136	2.845375317	2.389476269	0	0	0	0	0	0	0	0	1.173823795	0	1.639396293	0.667260598	0.89323752	1.113743625	4.733253982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2021_02_15_bin_5	0	0	0	2.30548613	0	0	0	1.40411267	0	0	0	0	0	0	0	1.13826558	0.841741229	5.157151014	0	0	10.04172715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_12	0	5.806966749	2.794586964	0	1.284193206	0	0	0.990471003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.096529063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.046601436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_40_ultra_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.908202224	0	0	0	1.212962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_60_ultra_bin_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22861786	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.369794838	4.812195512	0	0	0	0	0	0	0	0.78741109	0.982046874	0	0.868308571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.858375427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2023_07_80_ultra_bin_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.184077846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.435000362	2.656856714	6.405800689	6.431832251	5.063383052	4.605863708	5.206642789	2.377261895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854358235	1.399687197	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.819144727	0	9.570505737	5.970739372	1.703576582	11.32257182	15.85943388	11.989642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.349920888	1.64875566	5.257841044	7.768803687	4.839530652	5.405586654	4.810550412	2.83903828	0	0	0	0	0	0	0	0	0	0	0	0	0.706506523	0	0.879337495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.773664921	1.10647673	6.417692959	7.458192207	2.533980628	5.146875885	7.363769236	2.413586824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.923496063	3.924203534	11.1071289	11.66569215	7.916821612	7.912905071	7.030068862	3.499648842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN_SY_2021_04_15_bin_4	0	0	0	0	0	0	2.611029302	0	0	0	0	0	0	0	0	1.516121928	2.854354816	2.304322751	0	0	2.630879968	0	0	0	0	0	0	0	0	0	9.177781605	2.197328567	11.79751659	2.963487735	23.08175044	19.25285217	7.389182821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_1	16.98704898	18.53230936	7.785590802	7.067386051	6.78402793	9.527949659	26.94159522	2.523338177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_10	12.24731671	0	4.685167095	3.606293208	3.345242334	5.424886144	31.78598444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LN_DD_2021_06_15_bin_2	49.90259242	0	16.46468566	8.294731761	8.139704182	9.067520623	55.64899041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.026100585	0	1.235923777	0.888035106	0	1.800834189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.127944042	3.283851388	10.92673304	9.700234503	4.364086779	10.71947474	12.90809985	6.90628469	0	0	0	0	0	0	0	1.60755147	1.04636567	3.456281867	0	3.406901128	1.522063745	1.819249996	1.880859806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_NB_2021_05_15_bin_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.952325277	1.053362562	14.24321771	10.44012033	2.178416625	17.55156456	22.72577049	24.15587956	0	0	0	0	0	0	0	4.804911591	4.359976047	30.17607152	4.738385796	27.09452785	3.210669077	8.00868939	84.37127193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.754520521	0	2.78340437	3.060504681	1.827967193	3.370887056	3.780193536	2.326437692	0	0	0	0	0	0	0	5.068720838	8.151560794	2.52162467	1.072368821	3.884855728	8.028993381	9.572788893	3.313062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJ_WZ_2021_05_15_bin_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.252997281	0	2.639077696	3.784864659	3.246881206	3.849499832	4.754599819	6.41419639	0	0	0	0	0	0	0	7.974871046	8.136879429	6.012395694	7.702230383	6.227110189	25.2170202	5.999602943	6.101341083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GD_ZH_2021_05_15_bin_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.796002595	0	3.879809946	4.144004436	2.55405761	2.556534149	3.008751398	1.478555672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.750468786	11.59169968	9.697045764	15.95480549	28.15589474	18.39511536	11.70725578	11.3712574
JS_LYG_2021_05_15_bin_5	2.613321089	3.405187894	6.338936858	3.626755459	6.259835906	5.539741103	3.647523644	6.117840508	0	0	0	0	0	0	0	10.71798098	18.71167003	7.502258557	6.432400659	2.776518153	8.973909654	4.164236589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.656731773	3.552541943	4.158063168	3.802205038	9.345138011	8.839459699	4.311950066	7.035759688	0	0	0	0	0	0	0	0
SD_DY_2021_06_15_bin_1	0	0	0	0	0	0	0	0	4.466728753	30.22570978	4.749230901	4.009756716	33.34327065	4.076197346	3.715551314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.332431043	2.91348931	2.670973122	1.252810332	0	3.40822647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SD_QD_2020_06_15_bin_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54008553	0	2.062432159	2.016958241	1.516099572	1.728066435	1.501090889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.228413363	4.578726195	4.525324699	6.426057553	11.61235375	7.800306814	4.616699143	5.015433339
SD_QD_2023_07_20_normal_bin_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.662111197	1.550315341	0	0	2.693324335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JS_YC_2021_05_15_bin_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01372151	1.04538637	1.60638641	0	1.276463059	31.67164558	5.319242336	4.305358217	0	0	0	0	0	0	0	0
